INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
128	126	320000	1925621	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	3450576	162121050	3450576	162121050	3450576	162121050	3450576	162121050	3450576	162121050	3450576	162121050	3450576	162121050	3450576	162121050	3450576	162121050	575096	40530263	3220537	121590788	3220537	121590788	862644	60795394	862644	60795394	3220537	121590788	3450576	162121050	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
129	127	320000	1925621	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	3545940	165215236	3545940	165215236	3545940	165215236	3545940	165215236	3545940	165215236	3545940	165215236	3545940	165215236	3545940	165215236	3545940	165215236	590990	41303809	3309544	123911427	3309544	123911427	886486	61955714	886486	61955714	3309544	123911427	3545940	165215236	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
130	128	320000	1925621	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	3643062	168377220	3643062	168377220	3643062	168377220	3643062	168377220	3643062	168377220	3643062	168377220	3643062	168377220	3643062	168377220	3643062	168377220	607178	42094305	3400191	126282915	3400191	126282915	910766	63141458	910766	63141458	3400191	126282915	3643062	168377220	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
131	129	320000	1925621	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	3741954	171607906	3741954	171607906	3741954	171607906	3741954	171607906	3741954	171607906	3741954	171607906	3741954	171607906	3741954	171607906	3741954	171607906	623660	42901977	3492490	128705930	3492490	128705930	935488	64352965	935488	64352965	3492490	128705930	3741954	171607906	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
132	130	320000	1925621	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	3842640	174908190	3842640	174908190	3842640	174908190	3842640	174908190	3842640	174908190	3842640	174908190	3842640	174908190	3842640	174908190	3842640	174908190	640440	43727048	3586464	131181143	3586464	131181143	960660	65590571	960660	65590571	3586464	131181143	3842640	174908190	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
133	131	320000	1925621	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	3945132	178278976	3945132	178278976	3945132	178278976	3945132	178278976	3945132	178278976	3945132	178278976	3945132	178278976	3945132	178278976	3945132	178278976	657522	44569744	3682123	133709232	3682123	133709232	986284	66854616	986284	66854616	3682123	133709232	3945132	178278976	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
134	132	320000	1925621	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	4049448	181721160	4049448	181721160	4049448	181721160	4049448	181721160	4049448	181721160	4049448	181721160	4049448	181721160	4049448	181721160	4049448	181721160	674908	45430290	3779484	136290870	3779484	136290870	1012362	68145435	1012362	68145435	3779484	136290870	4049448	181721160	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
135	133	320000	1925621	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	4155600	185235646	4155600	185235646	4155600	185235646	4155600	185235646	4155600	185235646	4155600	185235646	4155600	185235646	4155600	185235646	4155600	185235646	692600	46308912	3878560	138926735	3878560	138926735	1038900	69463367	1038900	69463367	3878560	138926735	4155600	185235646	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
136	134	320000	1925621	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	4263606	188823330	4263606	188823330	4263606	188823330	4263606	188823330	4263606	188823330	4263606	188823330	4263606	188823330	4263606	188823330	4263606	188823330	710602	47205833	3979365	141617498	3979365	141617498	1065902	70808749	1065902	70808749	3979365	141617498	4263606	188823330	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
137	135	320000	1925621	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	4373484	192485116	4373484	192485116	4373484	192485116	4373484	192485116	4373484	192485116	4373484	192485116	4373484	192485116	4373484	192485116	4373484	192485116	728914	48121279	4081918	144363837	4081918	144363837	1093372	72181919	1093372	72181919	4081918	144363837	4373484	192485116	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
138	136	320000	1925621	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	4485252	196221900	4485252	196221900	4485252	196221900	4485252	196221900	4485252	196221900	4485252	196221900	4485252	196221900	4485252	196221900	4485252	196221900	747542	49055475	4186235	147166425	4186235	147166425	1121314	73583213	1121314	73583213	4186235	147166425	4485252	196221900	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
139	137	320000	1925621	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	4598922	200034586	4598922	200034586	4598922	200034586	4598922	200034586	4598922	200034586	4598922	200034586	4598922	200034586	4598922	200034586	4598922	200034586	766488	50008647	4292327	150025940	4292327	150025940	1149730	75012970	1149730	75012970	4292327	150025940	4598922	200034586	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
140	138	320000	1925621	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	4714512	203924070	4714512	203924070	4714512	203924070	4714512	203924070	4714512	203924070	4714512	203924070	4714512	203924070	4714512	203924070	4714512	203924070	785752	50981018	4400211	152943053	4400211	152943053	1178628	76471526	1178628	76471526	4400211	152943053	4714512	203924070	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
141	139	320000	1925621	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	4832034	207891256	4832034	207891256	4832034	207891256	4832034	207891256	4832034	207891256	4832034	207891256	4832034	207891256	4832034	207891256	4832034	207891256	805340	51972814	4509898	155918442	4509898	155918442	1208008	77959221	1208008	77959221	4509898	155918442	4832034	207891256	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
142	140	320000	1925621	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	4951512	211937040	4951512	211937040	4951512	211937040	4951512	211937040	4951512	211937040	4951512	211937040	4951512	211937040	4951512	211937040	4951512	211937040	825252	52984260	4621411	158952780	4621411	158952780	1237878	79476390	1237878	79476390	4621411	158952780	4951512	211937040	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
143	141	320000	1925621	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	5072958	216062326	5072958	216062326	5072958	216062326	5072958	216062326	5072958	216062326	5072958	216062326	5072958	216062326	5072958	216062326	5072958	216062326	845494	54015582	4734760	162046745	4734760	162046745	1268240	81023372	1268240	81023372	4734760	162046745	5072958	216062326	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
144	142	320000	1925621	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	5196384	220268010	5196384	220268010	5196384	220268010	5196384	220268010	5196384	220268010	5196384	220268010	5196384	220268010	5196384	220268010	5196384	220268010	866064	55067003	4849958	165201008	4849958	165201008	1299096	82600504	1299096	82600504	4849958	165201008	5196384	220268010	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
145	143	320000	1925621	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	5321814	224554996	5321814	224554996	5321814	224554996	5321814	224554996	5321814	224554996	5321814	224554996	5321814	224554996	5321814	224554996	5321814	224554996	886970	56138749	4967026	168416247	4967026	168416247	1330454	84208124	1330454	84208124	4967026	168416247	5321814	224554996	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
146	144	320000	1925621	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	5449260	228924180	5449260	228924180	5449260	228924180	5449260	228924180	5449260	228924180	5449260	228924180	5449260	228924180	5449260	228924180	5449260	228924180	908210	57231045	5085976	171693135	5085976	171693135	1362316	85846568	1362316	85846568	5085976	171693135	5449260	228924180	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
147	145	320000	1925621	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	5578740	241431406	5578740	241431406	5578740	241431406	5578740	241431406	5578740	241431406	5578740	241431406	5578740	241431406	5578740	241431406	5578740	241431406	929790	60357852	5206824	181073555	5206824	181073555	1394686	90536777	1394686	90536777	5206824	181073555	5578740	241431406	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
148	146	320000	1925621	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	5710272	255525750	5710272	255525750	5710272	255525750	5710272	255525750	5710272	255525750	5710272	255525750	5710272	255525750	5710272	255525750	5710272	255525750	951712	63881438	5329587	191644313	5329587	191644313	1427568	95822156	1427568	95822156	5329587	191644313	5710272	255525750	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
